LapNumber,TyreLife,Compound,deg_rate,gap_ahead,undercut_risk,Position,pit_next_lap,Year,EventName,Driver,pit_probability,recommended,predicted_position
7.0,7.0,2.0,-30.25733333333333,0.0010000000000047,0,15.0,0,2022,Australian Grand Prix,MAG,0.002,False,13
7.0,8.0,2.0,-29.539,0.0570000000000021,0,16.0,0,2022,Australian Grand Prix,VET,0.007,False,13
7.0,7.0,1.0,-28.937333333333346,0.762999999999991,0,17.0,0,2022,Australian Grand Prix,LAT,0.049,False,15
7.0,7.0,2.0,-28.59700000000001,0.2600000000000051,0,18.0,0,2022,Australian Grand Prix,ALB,0.007,False,16
7.0,3.0,2.0,-24.182333333333347,0.0570000000000021,0,19.0,0,2022,Australian Grand Prix,STR,0.023,False,16
8.0,8.0,1.0,-20.577333333333343,999.0,0,1.0,0,2022,Australian Grand Prix,LEC,0.014,False,2
8.0,8.0,1.0,-20.09966666666668,0.3769999999999953,0,2.0,0,2022,Australian Grand Prix,VER,0.016,False,4
8.0,8.0,1.0,-19.13100000000001,0.8760000000000048,0,3.0,0,2022,Australian Grand Prix,HAM,0.013,False,3
8.0,8.0,1.0,-18.816000000000017,0.152000000000001,0,4.0,0,2022,Australian Grand Prix,PER,0.01,False,4
8.0,8.0,1.0,-18.044999999999987,0.331000000000003,0,5.0,0,2022,Australian Grand Prix,RUS,0.018,False,5
